,time,T18,T19,T20,T21
190,49684,23.0592,22.75,84.8749,22.589000000000002
191,49685,23.0507,22.7512,14.9132,22.5625
192,49686,23.061,22.7848,14.9405,22.5625
193,49687,23.053,22.9062,14.9217,22.5312
194,49688,23.0612,22.9073,14.9368,22.5625
195,49689,23.0504,22.9375,14.9407,22.5312
196,49690,23.0717,22.9385,14.9471,22.5676
197,49691,23.0547,22.9383,14.9389,22.6404
198,49692,23.0573,22.9391,14.9433,22.6305
199,49693,23.0679,23.0008,14.9478,22.5678
200,49694,23.0573,23.0006,14.9456,22.5055
201,49695,23.0749,23.0312,14.9566,22.4744
202,49696,23.0724,22.9694,14.9372,22.4632
203,49697,23.085,22.9688,14.9435,22.4688
204,49698,23.066,22.9696,14.9243,22.4941
205,49699,23.0767,23.0312,14.9235,22.5
206,49700,23.0979,23.0312,14.945,22.5
207,49701,23.0897,23.0623,14.9386,22.5
208,49702,23.0829,23.031,14.9344,22.4434
209,49703,23.0964,22.9374,14.9583,22.4375
210,49704,23.0958,22.9062,14.9583,22.5
211,49705,23.1025,22.9064,14.9497,22.5
212,49706,23.0938,22.9064,14.9583,22.4812
213,49707,23.1027,22.9062,14.9712,22.4688
214,49708,23.1019,22.875,14.9753,22.475
215,49709,23.1111,22.8441,14.9882,22.5
216,49710,23.0986,22.8438,14.9823,22.4375
217,49711,23.1199,22.8438,15.0018,22.4935
218,49712,23.1198,22.8438,15.0169,22.5493
219,49713,23.1221,22.9058,15.0173,22.6182
220,49714,23.1072,22.9371,15.0282,22.6809
221,49715,23.1182,22.9688,15.0351,22.6943
222,49716,23.1221,23.0306,15.0542,22.6562
223,49717,23.1352,23.0,15.0778,22.6006
224,49718,23.1185,22.9392,15.0685,22.6007
225,49719,23.1333,23.0,15.1065,22.6491
226,49720,23.1481,23.0304,15.128,22.631999999999998
227,49721,23.1419,23.0323,15.1374,22.5697
228,49722,23.1271,23.0312,15.1332,22.6177
229,49723,23.1336,22.9708,15.1568,22.6803
230,49724,23.1396,22.9676,15.1889,22.6949
231,49725,23.1247,22.9387,15.1869,22.7188
232,49726,23.1138,22.9074,15.1789,22.7739
233,49727,23.1269,22.8451,15.2073,22.7101
234,49728,23.1223,22.8736,15.2072,22.6875
235,49729,23.114,22.8444,15.2208,22.7112
236,49730,23.1247,22.8734,15.2421,22.75
237,49733,23.1138,22.875,15.2633,22.7579
238,49734,23.1289,22.875,15.2789,22.7812
239,49735,23.1348,22.8438,15.287,22.758000000000003
240,49736,23.1375,22.8145,15.3089,22.75
241,49737,23.1309,22.7851,15.2919,22.6875
242,49738,23.1294,22.8438,15.3035,22.7188
243,49739,23.1265,22.8438,15.3202,22.7105
244,49740,23.1076,22.8146,15.3014,22.7188
245,49741,23.112,22.8125,15.3012,22.7729
246,49742,23.1136,22.8125,15.3119,22.7897
247,49743,23.1072,22.7836,15.3181,22.75
248,49744,23.1159,22.7789,15.3238,22.7727
249,49745,23.103,22.7239,15.3078,22.75
250,49746,23.0987,22.7475,15.3097,22.6762
251,49747,23.1089,22.7762,15.3028,22.6562
252,49748,23.0944,22.7527,15.3053,22.6362
253,49749,23.1031,22.75,15.2883,22.6785
254,49750,23.0944,22.6875,15.2904,22.6875
255,49751,23.1045,22.6875,15.2919,22.7097
256,49752,23.0983,22.7188,15.277000000000001,22.7188
257,49753,23.0989,22.7471,15.2664,22.7409
258,49754,23.1027,22.7812,15.2535,22.772
259,49755,23.0962,22.7561,15.2551,22.7812
260,49756,23.0899,22.7812,15.2295,22.6968
261,49757,23.1028,22.7812,15.2316,22.7406
262,49758,23.1005,22.7877,15.21,22.8029
263,49759,23.0983,22.8109,15.205,22.7907
264,49760,23.0939,22.8403,15.1834,22.7909
265,49761,23.1071,22.9062,15.1727,22.8125
266,49762,23.103,22.9341,15.1658,22.7909
267,49763,23.109,22.9375,15.1523,22.7812
268,49764,23.0944,23.0,15.1054,22.8125
269,49765,23.107,23.0277,15.09,22.8009
270,49766,23.1137,23.035,15.0791,22.7812
271,49767,23.1219,23.0037,15.0612,22.75
272,49768,23.1204,22.9375,15.029000000000002,22.76
273,49769,23.1223,22.9375,15.0196,22.7711
274,49770,23.1372,23.0234,14.987,22.7915
275,49771,23.1287,23.0625,14.9544,22.8335
276,49772,23.1332,23.0938,14.9348,22.8229
277,49775,23.1394,22.9688,14.845,22.8332
278,49776,23.146,23.0,14.8189,22.8125
279,49777,23.1311,23.0625,14.7715,22.7812
280,49778,23.1484,23.0892,14.7602,22.7812
281,49779,23.1397,23.066999999999997,14.7122,22.8017
282,49782,23.1486,23.0672,14.6211,22.7812
283,49783,23.1526,23.0625,14.5927,22.822
284,49784,23.1631,23.0312,14.555,22.8327
285,49785,23.1464,23.0312,14.5059,22.875
286,49786,23.1574,23.0576,14.4922,22.8337
287,49787,23.1697,23.0625,14.4483,22.7925
288,49788,23.1486,23.0574,14.4005,22.8011
289,49789,23.1399,22.8902,14.3704,22.8125
290,49790,23.1445,22.8231,14.3333,22.8323
291,49791,23.1399,22.7812,14.3069,22.7616
